in_id,brief_description,opened_at,closed_at,action,resolution,ai_l4,ai_l4_confidence,ai_l4_resolution_action,ai_l4_actionable,ai_l4_actionability_reason,ai_l4_rationale,category,subcategory,product,confidence_score,rationale,keywords_identified,self_resolved,root_cause_indicator
INC48714942,No Help Desk support needed: self-resolved,2026-03-02 16:06:30,2026-03-02 16:06:32,"No internet connection, Genesys Issue",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Ticket states self-resolved; informational event.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48696512,No Help Desk support needed: self-resolved,2026-03-02 07:37:37,2026-03-02 07:37:38,ticket,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Clearly indicates self-resolved; no support required.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48740330,No Help Desk support needed: self-resolved,2026-03-03 16:26:37,2026-03-03 16:26:38,citrix latency,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket states self-resolved; no support needed.,['self-resolved'],True,Unknown
INC48741061,No Help Desk support needed: self-resolved,2026-03-03 17:06:04,2026-03-03 17:06:05,member could not hear me had to reboot,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Ticket explicitly states no help desk support needed and self-resolved.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48713389,No Help Desk support needed: self-resolved,2026-03-02 15:09:52,2026-03-02 15:09:53,audioisuue,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no help desk support needed and self-resolved.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48722735,No Help Desk support needed: self-resolved,2026-03-03 07:45:01,2026-03-03 07:45:03,SYSTEM ISSUE,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Marked as 'No Help Desk support needed: self-resolved'.,['self-resolved'],True,Unknown
INC48708529,No Help Desk support needed: self-resolved,2026-03-02 12:49:54,2026-03-02 12:49:56,SYSTEM UPDATE,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly notes self-resolved.,"['self-resolved', 'no help desk support']",True,Unknown
INC48700159,No Help Desk support needed: self-resolved,2026-03-02 09:12:46,2026-03-02 09:12:48,Need to report an issue for documentation only - system was running extremely slow not allowing functionality. restarted,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,No help desk support needed and self-resolved matches User Self-Resolved.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48730972,No Help Desk support needed: self-resolved,2026-03-03 11:31:13,2026-03-03 11:31:16,Call Dropped was reported for call: 8438203418,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no help desk support needed; issue self-resolved.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48741275,No Help Desk support needed: self-resolved,2026-03-03 17:23:45,2026-03-03 17:23:47,"12:59pm HST- Misdirected caller-PDP account- mbr and Niece called in regarding Pharmacy claims, I did notify them that i do not have access to the account and would need to transfer them over, got transferred to Lily and Lily was able to transfer me over to Mary who had access",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Explicitly self-resolved; fits OperationalEvents > User Self-Resolved.,['self-resolved'],True,Unknown
INC48699112,No Help Desk support needed : self-resolved,2026-03-02 08:48:28,2026-03-02 08:48:30,no sound restarted my computer result issue,Self-Resolved Ticket Closed via IVR,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket states self-resolved; mapped accordingly.,"['self-resolved', 'No Help Desk support needed']",True,User_Error
INC48695612,No Help Desk support needed: self-resolved,2026-03-02 07:05:46,2026-03-02 07:05:47,ticket only,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Incident explicitly states no Help Desk support needed and self-resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48736777,No Help Desk support needed: self-resolved,2026-03-03 14:21:10,2026-03-03 14:21:12,"While in the middle of the call, suddenly disconnects without specific reason.",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,1.0,Ticket indicates self-resolved; fits informational operational event.,['self-resolved'],True,Unknown
INC48695312,No Help Desk support needed: self-resolved,2026-03-02 06:48:28,2026-03-02 06:48:30,genesys error while on call,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Marked as self-resolved; no support required.,['self-resolved'],True,Unknown
