"incident_id","category","subcategory","product","vendor","confidence_score","self_resolved","rationale","keywords_identified","root_cause_indicator","root_cause"
"INC47978043","IntegrationDataMovement","FileTransfer","SFTP","","0.82","False","WinSCP timeouts indicate an issue establishing an SFTP connection to a remote host, fitting FileTransfer/SFTP.","['WinSCP', 'Request Timed-out', 'Connection Time-out', 'SFTP', 'timeout']","Infrastructure","SFTP connection to remote host timed out, likely due to network/firewall connectivity issues."
"INC47978030","EmailCollaboration","Email","Outlook/Exchange","","0.75","False","Microsoft Outlook troubleshooting falls under email client/server (Outlook/Exchange).","['Microsoft Outlook', 'General Information', 'Troubleshooting', 'Email', 'Exchange']","User_Error","User requesting guidance/troubleshooting for Outlook configuration or usage."
"INC47978022","UserAccessAuthentication","DirectoryServices","Other","","0.72","False","Azure AD Connect is a directory synchronization tool; generic info/troubleshooting maps to DirectoryServices/Other.","['Azure AD Connect', 'General Information', 'Troubleshooting', 'Directory', 'Sync']","Configuration","Assistance needed with Azure AD Connect configuration/synchronization."
"INC47978102","EndUserSupport","SupportRequests","Access Requests","","0.86","False","Adding/changing the designated BSL in AppStore is an access/role assignment change request.","['AppStore', 'BSL', 'Add', 'Change', 'Designated', 'Access', 'Role']","Security","Requires update to AppStore role/permissions (designated BSL)."
"INC47978140","UserAccessAuthentication","IdentityAccess","Password Reset","","0.95","False","Change/reset MS domain password is a typical identity/password reset issue.","['Password Reset', 'MS Domain', 'Windows', 'Change']","User_Error","User forgot domain password or needs to change it."
"INC47978147","Hardware","DeviceFailure","Other","","0.58","False","Hardware incident tied to a vendor machine imaged with Optum; details are insufficient, so classify as general device issue.","['Hardware', 'Vendor Machine', 'Optum Image']","Unknown","Insufficient details; unspecified hardware issue with vendor device imaged with Optum."
"INC47978055","Software","ConfigurationIssues","Other","","0.62","False","Windows inability to open/view files commonly results from configuration issues (file associations/permissions).","['Windows', 'Issues Opening Files', 'Viewing Files', 'Permissions', 'File Associations']","Configuration","File associations or permissions misconfigured preventing files from opening/viewing."
"INC47978182","EndpointManagement","Security_Baselines","Disk Encryption","","0.95","False","BitLocker recovery key prompt after startup maps to disk encryption baseline enforcement.","['BitLocker', 'Recovery Key', 'Startup', 'Disk Encryption']","Change_Related","BitLocker detected a change to boot/TPM state (e.g., BIOS/firmware update), triggering recovery key prompt."
"INC47978221","EndpointManagement","Security_Baselines","Disk Encryption","","0.9","False","Recovery Key ID prompt after startup is characteristic of BitLocker disk encryption recovery behavior.","['Recovery Key ID', 'Startup', 'BitLocker', 'Disk Encryption']","Configuration","Boot configuration/TPM state triggered BitLocker recovery key prompt."
"INC47978335","EndpointManagement","Enrollment_Compliance","MDM/Intune","","0.8","False","Machine ID missing in AppStore device list suggests an endpoint enrollment/sync issue with MDM/Intune.","['Machine ID', 'AppStore', 'Device List', 'Windows', 'MDM', 'Intune']","Data_Issue","Device metadata not synced to AppStore/MDM, resulting in missing Machine ID."
"INC47978460","Network","VPN_RemoteAccess","Cisco Secure","Cisco","0.85","False","User cannot connect to VPN and internet while using Cisco on Windows over cellular; points to VPN remote access issue with Cisco Secure.","['VPN', 'Internet', 'Cisco', 'Windows', 'Cellular']","Infrastructure","Cellular network connectivity degradation/poor signal preventing stable VPN handshake."
"INC47978543","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Ticket explicitly states no support needed and self-resolved.","['self-resolved', 'no help desk']","Unknown","Issue was resolved by the user; no technical details provided."
"INC47978503","UserAccessAuthentication","IdentityAccess","MFA/SSO Issues","","0.9","False","Microsoft Authenticator not receiving push or SMS is an MFA delivery/authentication issue.","['Microsoft Authenticator', 'SMS', 'Notifications', 'MFA']","Security","MFA notification delivery failure (push/SMS blocked or delayed on phone)."
"INC47978649","UserAccessAuthentication","IdentityAccess","MFA/SSO Issues","","0.9","False","Same as above: Authenticator/SMS notifications not received indicates MFA issue.","['Microsoft Authenticator', 'SMS', 'Notifications', 'MFA']","Security","MFA notification delivery failure (push/SMS blocked or delayed on phone)."
"INC47978644","Network","VPN_RemoteAccess","Cisco Secure","Cisco","0.95","False","Cisco Secure Client VPN not connecting clearly maps to VPN Remote Access with Cisco Secure.","['Cisco Secure Client', 'VPN', 'not connecting']","Configuration","Likely Cisco Secure client profile/certificate or local configuration issue preventing connection."
"INC47978658","CloudInfrastructure","Virtualization_Remote","Virtual Desktop Issues","","0.6","False","‘myVDI’ refers to virtual desktop; user cannot identify the issue but it pertains to VDI.","['myVDI', 'VDI', 'Virtual Desktop']","Unknown","Unspecified VDI-related problem; no details provided to determine cause."
"INC47978545","UserAccessAuthentication","IdentityAccess","Windows Hello","","0.95","False","Windows Hello PIN not working is an identity/authentication issue tied to Windows Hello.","['Windows Hello', 'PIN', 'Not Working']","Security","Windows Hello credential state corrupted/desynced; PIN re-registration likely required."
"INC47978717","UserAccessAuthentication","IdentityAccess","Password Reset","RxClaim (Catamaran)","0.95","False","Explicit password reset request for RxClaim maps to IdentityAccess -> Password Reset.","['RxClaim', 'Catamaran', 'Password Reset']","User_Error","User forgot password or it expired for RxClaim account."
"INC47978735","DataStorage","DataIntegrity","Other","","0.6","False","Incorrect personal data in MyHR indicates a data integrity/synchronization issue rather than UI or access.","['MyHR', 'Personal Information', 'Incorrect', 'Data']","Data_Issue","Incorrect or outdated HR record; likely source-of-truth synchronization mismatch."
"INC47978754","EndUserSupport","SupportRequests","Service Requests","","0.9","False","Generic request for Help Desk support maps to EndUserSupport -> Service Requests.","['Help Desk', 'Support Request']","Unknown","User requests assistance without specific incident details."
"INC47978781","CloudInfrastructure","Virtualization_Remote","Virtual Desktop Issues","","0.75","False","""myVDI"" indicates a virtual desktop platform; the message ""Error: Security Issues Detected"" suggests an access issue within VDI. This fits CloudInfrastructure > Virtualization_Remote > Virtual Desktop Issues.","['myVDI', 'Error', 'Security Issues Detected', 'VDI']","Security","VDI access blocked due to a security/compliance check (e.g., device policy or endpoint posture) triggering the error."
"INC47978815","EndUserSupport","SupportRequests","Service Requests","","0.85","False","Generic request for Help Desk support maps to EndUserSupport > SupportRequests > Service Requests.","['Request', 'Help Desk support']","Unknown","User requested general assistance; no technical issue described."
"INC47978851","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Incident explicitly states no Help Desk support needed and self-resolved, which maps to ProcessInformational > OperationalEvents > User Self-Resolved.","['No Help Desk support needed', 'self-resolved']","User_Error","User resolved the issue themselves; likely minor user-side issue or steps corrected."
"INC47978810","Software","ApplicationErrors","Error","","0.7","False","""Data Not Available"" within a named desktop application (Lighthouse DAM) indicates an application-side error. Fits Software > ApplicationErrors > Error.","['Data Not Available', 'Lighthouse', 'Desktop Activity Monitor', 'DAM']","Data_Issue","Backend data feed/sync delay or missing data causing DAM to display no data."
"INC47978819","Hardware","PeripheralMalfunction","Monitor","","0.9","False","External monitor setup/display problems map directly to Hardware > PeripheralMalfunction > Monitor.","['Hardware', 'External Monitor', 'Setup', 'Display Issues']","Configuration","Incorrect display settings, cabling, or docking configuration affecting external monitor output."
"INC47978912","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Explicitly self-resolved; aligns with ProcessInformational > OperationalEvents > User Self-Resolved.","['No Help Desk support needed', 'self-resolved']","User_Error","User resolved the issue themselves; likely minor user-side issue or steps corrected."
"INC47978858","Hardware","PeripheralMalfunction","Monitor","","0.85","False","""Hardware - Monitor issue"" directly fits Hardware > PeripheralMalfunction > Monitor.","['Hardware', 'Monitor issue']","Unknown","Monitor malfunction reported; exact cause not provided."
"INC47978981","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Marked as self-resolved; map to ProcessInformational > OperationalEvents > User Self-Resolved.","['No Help Desk support needed', 'self-resolved']","User_Error","User resolved the issue themselves; likely minor user-side issue or steps corrected."
"INC47978882","TelephonyContactCenter","ContactCenter","Live Chat","","0.8","False","ISET ""Status Live Chat"" suggests an issue with the live chat service in the contact center domain. Fits TelephonyContactCenter > ContactCenter > Live Chat.","['ISET', 'Integrated Service Experience Tool', 'Status', 'Live Chat']","Unknown","Live chat service status issue noted; specific cause not provided."
