"incident_id","category","subcategory","product","vendor","confidence_score","self_resolved","rationale","keywords_identified","root_cause_indicator","root_cause"
"INC47979467","ProcessInformational","OperationalEvents","User Self-Resolved","","0.99","True","Ticket explicitly states no Help Desk support needed; self-resolved. Mapped to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","Unknown","Issue was resolved by the user without Help Desk assistance."
"INC47979491","ProcessInformational","OperationalEvents","User Self-Resolved","","0.99","True","Ticket explicitly states no Help Desk support needed; self-resolved. Mapped to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","Unknown","Issue was resolved by the user without Help Desk assistance."
"INC47979497","ProcessInformational","OperationalEvents","User Self-Resolved","","0.99","True","Ticket explicitly states no Help Desk support needed; self-resolved. Mapped to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","Unknown","Issue was resolved by the user without Help Desk assistance."
"INC47979500","ProcessInformational","OperationalEvents","User Self-Resolved","","0.99","True","Ticket explicitly states no Help Desk support needed; self-resolved. Mapped to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","Unknown","Issue was resolved by the user without Help Desk assistance."
"INC47979513","ProcessInformational","OperationalEvents","User Self-Resolved","","0.99","True","Ticket explicitly states no Help Desk support needed; self-resolved. Mapped to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","Unknown","Issue was resolved by the user without Help Desk assistance."
"INC47979655","ProcessInformational","OperationalEvents","User Self-Resolved","","0.99","True","Ticket explicitly states no Help Desk support needed; self-resolved. Mapped to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","Unknown","Issue was resolved by the user without Help Desk assistance."
"INC47979657","ProcessInformational","OperationalEvents","User Self-Resolved","","0.99","True","Ticket explicitly states no Help Desk support needed; self-resolved. Mapped to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","Unknown","Issue was resolved by the user without Help Desk assistance."
"INC47979661","ProcessInformational","OperationalEvents","User Self-Resolved","","0.99","True","Ticket explicitly states no Help Desk support needed; self-resolved. Mapped to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","Unknown","Issue was resolved by the user without Help Desk assistance."
"INC47979682","ProcessInformational","OperationalEvents","User Self-Resolved","","0.99","True","Ticket explicitly states no Help Desk support needed; self-resolved. Mapped to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","Unknown","Issue was resolved by the user without Help Desk assistance."
"INC47979714","ProcessInformational","OperationalEvents","User Self-Resolved","","0.99","True","Ticket explicitly states no Help Desk support needed; self-resolved. Mapped to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","Unknown","Issue was resolved by the user without Help Desk assistance."
"INC47979716","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Incident states 'No Help Desk support needed: self-resolved', which maps directly to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk']","Unknown","No cause provided; user resolved issue without support."
"INC47979586","Software","ApplicationErrors","Error","Siber Systems RoboForm","0.8","False","RoboForm application 'stopped working or is missing' indicates an application-level problem, aligning to Software > ApplicationErrors > Error.","['RoboForm', 'stopped working', 'missing', 'application']","Unknown","Insufficient detail to determine whether crash, uninstall, or configuration issue."
"INC47979726","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Incident states 'No Help Desk support needed: self-resolved', mapping to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved']","Unknown","No cause provided; issue resolved by user."
"INC47979736","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Explicit self-resolution noted; fits ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved']","Unknown","No cause provided; issue resolved by user."
"INC47979738","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Explicit self-resolution noted; fits ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved']","Unknown","No cause provided; issue resolved by user."
"INC47979740","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Explicit self-resolution noted; fits ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved']","Unknown","No cause provided; issue resolved by user."
"INC47979741","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Explicit self-resolution noted; fits ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved']","Unknown","No cause provided; issue resolved by user."
"INC47979765","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Explicit self-resolution noted; fits ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved']","Unknown","No cause provided; issue resolved by user."
"INC47979469","Network","VPN_RemoteAccess","Cisco Secure","Cisco","0.95","False","'Cisco secure client - unable to connect to VPN' maps to Network > VPN_RemoteAccess, using the specific product 'Cisco Secure'. Mention of 'spectrum/WFH' suggests home ISP context.","['Cisco Secure Client', 'VPN', 'unable to connect', 'Spectrum', 'WFH']","Third_Party","Home ISP (Spectrum) connectivity impacting VPN connection to Cisco Secure."
"INC47979724","EmailCollaboration","Email","Delivery Failures","Microsoft","0.8","False","'Microsoft Outlook - Any Issues Sending Email' most closely aligns to EmailCollaboration > Email > Delivery Failures (issues with sending mail).","['Outlook', 'sending email', 'delivery']","Unknown","Insufficient detail; could be client send error or Exchange delivery issue."
"INC47979754","CloudInfrastructure","Virtualization_Remote","Citrix Issues","","0.82","False","Citrix (myapps-ecc.uhc.com) login problem maps to Virtualization/Remote Citrix access.","['Citrix', 'myapps-ecc', 'Unable to Login', 'NRECA']","Security","Authentication failure when attempting to log into Citrix (myapps-ecc) portal."
"INC47979877","ProcessInformational","OperationalEvents","Informational Ticket","","0.98","False","Ticket explicitly states informational only, no support needed.","['Self-Service', 'Information ticket', 'no further support']","Unknown","Informational only; no incident to resolve."
"INC47979572","Hardware","PeripheralMalfunction","Docking Station","","0.95","False","Hardware docking station functionality issue is a peripheral malfunction.","['Hardware', 'Docking Station', 'Functionality', 'Issues']","Infrastructure","Docking station hardware malfunction affecting device connectivity."
"INC47979931","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Ticket indicates no help desk support needed; issue self-resolved.","['self-resolved', 'No Help Desk support needed']","User_Error","User resolved the issue without assistance."
"INC47979606","Network","VPN_RemoteAccess","Zscaler","","0.8","False","Blocked website access typically controlled by Zscaler web filtering/policy.","['Microsoft Edge', 'Blocked Website', 'Access Request', 'Windows', 'Zscaler']","Security","URL blocked by Zscaler security policy; user requesting exception."
"INC47979506","EndpointManagement","Security_Baselines","Disk Encryption","","0.9","False","BitLocker is disk encryption under endpoint security baselines.","['BitLocker', 'Recovery Key', 'Prompt', 'Startup']","Security","BitLocker recovery triggered due to TPM/boot configuration change or policy enforcement."
"INC47979667","UserAccessAuthentication","IdentityAccess","Windows Hello","","0.95","False","Windows Hello fingerprint/PIN issues are identity/authentication under Windows Hello.","['Windows Hello for Business', 'Fingerprint won’t work', 'forgot PIN']","User_Error","User forgot Windows Hello PIN; biometric sign-in blocked until reset."
"INC47979983","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Ticket states no help desk support needed; self-resolved.","['self-resolved', 'No Help Desk support needed']","User_Error","User resolved the issue without assistance."
"INC47979984","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Ticket states no help desk support needed; self-resolved.","['self-resolved', 'No Help Desk support needed']","User_Error","User resolved the issue without assistance."
"INC47979902","UserAccessAuthentication","IdentityAccess","Windows Hello","","0.85","False","Windows Hello sign-in option unavailable maps to Windows Hello identity/authentication.","['Windows Hello for Business', 'couldn’t sign you in', 'option temporarily unavailable']","Infrastructure","Windows Hello service temporarily unavailable on device; fallback to alternative sign-in method."
"INC47980002","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Ticket explicitly states no help desk support needed and self-resolved; fits OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk support']","Unknown","Issue resolved by user before help desk involvement; specific cause not provided."
"INC47980009","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Ticket explicitly states no help desk support needed and self-resolved; fits OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk support']","Unknown","Issue resolved by user before help desk involvement; specific cause not provided."
"INC47979986","ProcessInformational","OperationalEvents","Informational Ticket","","0.85","False","Described as informational; user requesting employee number/MS ID is not an incident, aligns with Informational Ticket.","['informational', 'request', 'employee number', 'MS ID']","Unknown","Not an incident; informational request only."
"INC47979905","EmailCollaboration","Collaboration","Teams","Microsoft","0.8","False","Issue specifically mentions Microsoft Teams and a security warning after clearing cache; aligns with Collaboration > Teams.","['Microsoft Teams', 'security warning', 'clearing cache']","Configuration","Clearing Teams cache likely removed tokens/settings, triggering a security warning on next launch."
"INC47979460","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Ticket states self-resolved and no help desk support needed; matches OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk support']","Unknown","Issue resolved by user; no cause details provided."
"INC47979462","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Ticket states self-resolved and no help desk support needed; matches OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk support']","Unknown","Issue resolved by user; no cause details provided."
"INC47979483","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Ticket states self-resolved and no help desk support needed; matches OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk support']","Unknown","Issue resolved by user; no cause details provided."
"INC47979502","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Ticket states self-resolved and no help desk support needed; matches OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk support']","Unknown","Issue resolved by user; no cause details provided."
"INC47979507","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Ticket states self-resolved and no help desk support needed; matches OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk support']","Unknown","Issue resolved by user; no cause details provided."
"INC47979508","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Ticket states self-resolved and no help desk support needed; matches OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk support']","Unknown","Issue resolved by user; no cause details provided."
"INC47979514","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Ticket explicitly states no help desk support needed and self-resolved; fits ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","Unknown","User resolved the issue independently; no help desk assistance required."
"INC47979521","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Marked as self-resolved; belongs to informational operational event.","['self-resolved', 'No Help Desk support needed']","Unknown","Issue corrected by user without support."
"INC47979573","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Self-resolved incident with no support needed aligns to User Self-Resolved.","['self-resolved']","Unknown","User independently resolved the problem."
"INC47979558","UserAccessAuthentication","IdentityAccess","Other","","0.78","False","""Unable to log in on the computer"" during M&A indicates identity/access issue likely tied to domain changes; map to IdentityAccess > Other due to ambiguity (not explicitly lockout or MFA).","['M&A', 'Unable to log in', 'computer', 'login']","Change_Related","M&A/domain migration likely caused credential or domain mismatch preventing Windows login."
"INC47979656","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Self-resolved; informational operational event.","['self-resolved']","Unknown","Issue resolved by user; no details provided."
"INC47979582","UserAccessAuthentication","IdentityAccess","Account Lockout","","0.96","False","Explicit 'account locked out' indicates IdentityAccess > Account Lockout; M&A context suggests change-related cause.","['M&A', 'account locked out', 'CMM', 'MKMG']","Change_Related","Account locked out during/after M&A domain integration (CMM/MKMG)."
"INC47979665","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Ticket says self-resolved; categorized as User Self-Resolved.","['self-resolved']","Unknown","User corrected the issue without assistance."
"INC47979675","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Self-resolved informational ticket.","['self-resolved']","Unknown","User fixed the problem independently."
"INC47979677","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Self-resolved; no HD support needed, matches informational operational event.","['self-resolved', 'No Help Desk support needed']","Unknown","User resolved issue on their own."
"INC47979743","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Self-resolved status aligns to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved']","Unknown","User resolved the issue; no further action required."
"INC47979749","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Incident explicitly states no Help Desk support needed and self-resolved; matches ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk']","User_Error","User corrected the issue on their own, likely a minor usage or configuration problem."
"INC47979670","UserAccessAuthentication","IdentityAccess","Windows Hello","","0.9","False","Windows Hello PIN is an authentication issue; fits UserAccessAuthentication > IdentityAccess > Windows Hello.","['Windows Hello', 'PIN not working']","Security","Windows Hello credential/TPM keys issue or policy-related restriction causing PIN failure."
"INC47979698","EndUserSupport","SupportRequests","How-To/Config Questions","","0.95","False","Request to configure Windows wallpaper/background is a how-to/config question; matches EndUserSupport > SupportRequests > How-To/Config Questions.","['configure', 'wallpaper', 'background']","User_Error","User needs guidance on how to change Windows wallpaper settings."
"INC47979911","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Incident explicitly states self-resolved; matches ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk']","User_Error","User corrected the issue without support."
"INC47979868","Hardware","PeripheralMalfunction","Monitor","","0.9","False","Hardware monitors not working maps to Hardware > PeripheralMalfunction > Monitor.","['hardware', 'monitor', 'not working']","Infrastructure","Monitor or cabling failure causing no display signal."
"INC47979632","Network","ConnectivityIssues","ISP Degradation","Spectrum","0.75","False","Cannot connect to VPN or Internet with 'Spectrum - Wired' indicates ISP connectivity problem preventing VPN; classify under Network > ConnectivityIssues > ISP Degradation.","['VPN', 'Cisco', 'Internet', 'Spectrum', 'wired']","Third_Party","Spectrum wired ISP outage/degradation blocking Internet access and VPN connection."
"INC47979903","Hardware","PeripheralMalfunction","Other","","0.6","False","'Hardware - Not detected' is ambiguous but suggests a peripheral/device not recognized; classify under Hardware > PeripheralMalfunction > Other.","['hardware', 'not detected']","Configuration","Likely missing or incorrect device drivers/cabling leading to the hardware not being detected."
"INC47979999","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Incident indicates self-resolved; fits ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk']","User_Error","User resolved the issue independently."
"INC47980000","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Incident indicates self-resolved; fits ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk']","User_Error","User resolved the issue independently."
"INC47980012","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Incident indicates self-resolved; fits ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk']","User_Error","User resolved the issue independently."
"INC47980015","Software","OSProblems","Other","","0.6","False","""System shutdown"" points to an OS-level issue without device specifics; OSProblems>Other is the best fit given limited detail.","['system shutdown', 'shutdown', 'OS issue']","Unknown","System shut down unexpectedly; no cause provided."
"INC47979764","ProcessInformational","OperationalEvents","Informational Ticket","","0.95","False","Ticket explicitly marked as informational related to termination of access; fits OperationalEvents>Informational Ticket.","['Informational', 'termination of access', 'access termination']","Security","Access termination per policy/process; informational notice rather than an active incident."
"INC47980020","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Clearly states no help desk support needed and self-resolved; matches OperationalEvents>User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","User_Error","User corrected their own issue; specific cause not provided."
"INC47980028","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Marked as self-resolved and no help desk support needed; fits User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","User_Error","User corrected their own issue; details not provided."
"INC47979891","CloudInfrastructure","Virtualization_Remote","Virtual Desktop Issues","","0.8","False","""myVDI"" indicates a virtual desktop environment; issue unspecified, so classify under Virtual Desktop Issues.","['myVDI', 'virtual desktop', 'unable to find issue']","Unknown","VDI-related problem referenced but specifics not identified."
"INC47980039","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Explicitly states self-resolved; aligns with OperationalEvents>User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","User_Error","User remedied the issue without support; cause unspecified."
"INC47980061","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Explicitly self-resolved; appropriate classification is User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","User_Error","User resolved the issue independently; specific cause unknown."
"INC47979486","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","No help desk support needed and self-resolved; fits OperationalEvents>User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","User_Error","User corrected their own issue; no additional details."
"INC47979499","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Self-resolved incident per description; classify as User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","User_Error","User fixed the issue independently; cause not specified."
"INC47979520","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Marked as self-resolved and not requiring help desk; matches OperationalEvents>User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","User_Error","User resolved their own issue; specific reason not provided."
