"incident_id","category","subcategory","product","vendor","confidence_score","self_resolved","rationale","keywords_identified","root_cause_indicator","root_cause"
"INC47980157","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Description states 'No Help Desk support needed: self-resolved', which maps to informational operational event: user self-resolved.","['self-resolved', 'No Help Desk support needed']","Unknown","Issue resolved by user; no assistance required."
"INC47980158","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Ticket explicitly indicates self-resolution; best fit is OperationalEvents > User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","Unknown","User addressed the problem independently."
"INC47980179","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Marked as 'No Help Desk support needed: self-resolved', aligning to informational user self-resolved event.","['self-resolved', 'informational']","Unknown","Resolved by end user without support."
"INC47980234","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Self-resolved per description; classify as OperationalEvents > User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","Unknown","User remediation completed; no further action."
"INC47980248","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Description indicates no help desk support needed and self-resolved.","['self-resolved', 'informational']","Unknown","End user fixed the issue."
"INC47980266","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Clearly flagged as self-resolved; this matches the User Self-Resolved product under OperationalEvents.","['self-resolved', 'No Help Desk support needed']","Unknown","Issue closed by user after resolving independently."
"INC47980189","Network","VPN_RemoteAccess","Cisco Secure","Cisco","0.8","False","Incident mentions inability to connect to VPN and references Cisco on Windows, indicating a Cisco VPN remote access client issue.","['Cannot Connect', 'VPN', 'Network', 'Cisco', 'Windows']","Unknown","Insufficient details, but likely Cisco VPN client connectivity problem on Windows."
"INC47980333","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Marked as 'self-resolved'; maps to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'No Help Desk support needed']","Unknown","User resolved the issue; informational ticket."
"INC47980334","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Description indicates self-resolution; aligns to OperationalEvents > User Self-Resolved.","['self-resolved', 'informational']","Unknown","Issue was resolved by the user without help desk involvement."
"INC47980361","ProcessInformational","OperationalEvents","User Self-Resolved","","0.98","True","Explicitly states 'No Help Desk support needed: self-resolved', mapping to User Self-Resolved informational event.","['self-resolved', 'No Help Desk support needed']","Unknown","End user fixed the problem; no further support necessary."
"INC47980364","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Ticket explicitly states no Help Desk support needed and self-resolved; matches ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk support']","Unknown","Issue was resolved by the user; specific cause not provided."
"INC47980371","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Explicitly marked self-resolved; aligns with OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk support']","Unknown","User resolved the issue without assistance; cause unspecified."
"INC47980397","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Self-resolved noted in description; fits User Self-Resolved classification.","['self-resolved']","Unknown","Issue self-resolved; no causation details provided."
